2013-11-07 14:31:11,502 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@10ed39f: startup date [Thu Nov 07 14:31:11 CET 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-11-07 14:31:12,197 | INFO  | PListStore:[C:\Users\adri\Documents\GitHub\School\KdG13-14\Databanken en Middelware\activeMQ\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-11-07 14:31:12,217 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\adri\Documents\GitHub\School\KdG13-14\Databanken en Middelware\activeMQ\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-11-07 14:31:12,611 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:PlanetExpress-1586-1383831072483-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-11-07 14:31:12,630 | INFO  | Listening for connections at: tcp://PlanetExpress:61616?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-11-07 14:31:12,631 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-11-07 14:31:12,635 | INFO  | Listening for connections at: amqp://PlanetExpress:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-11-07 14:31:12,635 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-11-07 14:31:12,637 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:PlanetExpress-1586-1383831072483-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-11-07 14:31:12,637 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-11-07 14:31:13,158 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-11-07 14:31:13,291 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-11-07 14:31:13,374 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-11-07 14:31:13,624 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2013-11-07 14:31:31,296 | INFO  | PListStore:[C:\Users\adri\Documents\GitHub\School\KdG13-14\Databanken en Middelware\activeMQ\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] initialized | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ BrokerService.worker.1
2013-11-09 21:03:23,371 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:PlanetExpress-1586-1383831072483-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-16
2013-11-09 21:03:24,370 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-16
2013-11-09 21:03:24,864 | INFO  | Connector amqp Stopped | org.apache.activemq.broker.TransportConnector | Thread-16
2013-11-09 21:03:26,765 | INFO  | PListStore:[C:\Users\adri\Documents\GitHub\School\KdG13-14\Databanken en Middelware\activeMQ\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-16
2013-11-09 21:03:26,765 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2013-11-09 21:03:26,765 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2013-11-09 21:03:26,766 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-16
2013-11-09 21:03:27,494 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:PlanetExpress-1586-1383831072483-0:1) uptime 2 days 6 hours | org.apache.activemq.broker.BrokerService | Thread-16
2013-11-09 21:03:27,495 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:PlanetExpress-1586-1383831072483-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-16
2013-11-09 21:03:27,495 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@10ed39f: startup date [Thu Nov 07 14:31:11 CET 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-16
2013-11-09 21:03:27,529 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-16
